order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR32422503,1-Mar-22,789422,25891503,138,3/2/2022,3/3/2022,110,0,0,0
FMR34603302,1-Mar-22,789603,25891103,378,3/4/2022,3/4/2022,378,1,1,1
FMR34702602,1-Mar-22,789702,25891103,480,3/4/2022,3/3/2022,432,0,1,0
FMR32601103,1-Mar-22,789601,25891103,310,3/2/2022,3/2/2022,294,0,1,0
FMR34601402,1-Mar-22,789601,25891103,388,3/4/2022,3/4/2022,310,0,1,0
FMR33303501,1-Mar-22,789303,25891103,335,3/3/2022,3/3/2022,335,1,1,1
FMR32621103,1-Mar-22,789621,25891103,431,3/2/2022,3/2/2022,431,1,1,1
FMR34621103,1-Mar-22,789621,25891103,357,3/4/2022,3/4/2022,339,0,1,0
FMR32501601,1-Mar-22,789501,25891103,318,3/2/2022,3/2/2022,318,1,1,1
FMR33501401,1-Mar-22,789501,25891103,400,3/3/2022,3/3/2022,400,1,1,1
FMR34501203,1-Mar-22,789501,25891103,327,3/4/2022,3/4/2022,327,1,1,1
FMR34402202,1-Mar-22,789402,25891103,340,3/4/2022,3/4/2022,272,0,1,0
FMR32221603,1-Mar-22,789221,25891103,430,3/2/2022,3/2/2022,430,1,1,1
FMR33522103,1-Mar-22,789522,25891103,384,3/3/2022,3/4/2022,384,1,0,1
FMR33503502,1-Mar-22,789503,25891103,325,3/3/2022,3/3/2022,309,0,1,0
FMR33122301,1-Mar-22,789122,25891103,403,3/3/2022,3/5/2022,403,1,0,1
FMR34122103,1-Mar-22,789122,25891103,458,3/4/2022,3/3/2022,458,1,1,1
FMR32401103,1-Mar-22,789401,25891103,476,3/2/2022,3/2/2022,476,1,1,1
FMR34301103,1-Mar-22,789301,25891103,351,3/4/2022,3/6/2022,351,1,0,1
FMR34902103,1-Mar-22,789902,25891103,456,3/4/2022,3/6/2022,410,0,0,0
FMR32202603,1-Mar-22,789202,25891103,389,3/2/2022,3/2/2022,370,0,1,0
FMR34721103,1-Mar-22,789721,25891103,468,3/4/2022,3/6/2022,468,1,0,1
FMR33420203,1-Mar-22,789420,25891103,357,3/3/2022,3/6/2022,357,1,0,1
FMR34420402,1-Mar-22,789420,25891103,325,3/4/2022,3/5/2022,325,1,0,1
FMR32321103,1-Mar-22,789321,25891103,478,3/2/2022,3/3/2022,478,1,0,1
FMR33321602,1-Mar-22,789321,25891103,465,3/3/2022,3/3/2022,419,0,1,0
FMR32422401,1-Mar-22,789422,25891103,317,3/2/2022,3/4/2022,317,1,0,1
FMR34522601,1-Mar-22,789522,25891601,181,3/4/2022,3/7/2022,163,0,0,0
FMR32202603,1-Mar-22,789202,25891601,125,3/2/2022,3/2/2022,119,0,1,0
FMR32702601,1-Mar-22,789702,25891601,93,3/2/2022,3/2/2022,74,0,1,0
FMR33520601,1-Mar-22,789520,25891601,182,3/3/2022,3/5/2022,146,0,0,0
FMR32902601,1-Mar-22,789902,25891601,93,3/2/2022,3/3/2022,88,0,0,0
FMR33103602,1-Mar-22,789103,25891601,188,3/3/2022,3/3/2022,150,0,1,0
FMR33201602,1-Mar-22,789201,25891601,180,3/3/2022,3/3/2022,171,0,1,0
FMR34622602,1-Mar-22,789622,25891601,96,3/4/2022,3/4/2022,91,0,1,0
FMR32101601,1-Mar-22,789101,25891601,124,3/2/2022,3/2/2022,124,1,1,1
FMR34220601,1-Mar-22,789220,25891601,78,3/4/2022,3/4/2022,78,1,1,1
FMR34122601,1-Mar-22,789122,25891601,68,3/4/2022,3/7/2022,61,0,0,0
FMR33321601,1-Mar-22,789321,25891601,157,3/3/2022,3/5/2022,157,1,0,1
FMR33903601,1-Mar-22,789903,25891601,93,3/3/2022,3/3/2022,84,0,1,0
FMR34621601,1-Mar-22,789621,25891601,170,3/4/2022,3/7/2022,170,1,0,1
FMR32421601,1-Mar-22,789421,25891601,108,3/2/2022,3/2/2022,103,0,1,0
FMR34421601,1-Mar-22,789421,25891601,75,3/4/2022,3/5/2022,75,1,0,1
FMR33102601,1-Mar-22,789102,25891601,180,3/3/2022,3/3/2022,180,1,1,1
FMR34203601,1-Mar-22,789203,25891601,110,3/4/2022,3/4/2022,110,1,1,1
FMR32501601,1-Mar-22,789501,25891601,139,3/2/2022,3/2/2022,139,1,1,1
FMR34420402,1-Mar-22,789420,25891402,353,3/4/2022,3/5/2022,353,1,0,1
FMR34401402,1-Mar-22,789401,25891402,468,3/4/2022,3/6/2022,468,1,0,1
FMR34720402,1-Mar-22,789720,25891402,472,3/4/2022,3/5/2022,448,0,0,0
FMR34721503,1-Mar-22,789721,25891402,436,3/4/2022,3/4/2022,414,0,1,0
FMR34601402,1-Mar-22,789601,25891402,208,3/4/2022,3/4/2022,208,1,1,1
FMR32520603,1-Mar-22,789520,25891402,287,3/2/2022,3/2/2022,258,0,1,0
FMR33503502,1-Mar-22,789503,25891402,450,3/3/2022,3/3/2022,450,1,1,1
FMR32203402,1-Mar-22,789203,25891402,488,3/2/2022,3/2/2022,488,1,1,1
FMR32902402,1-Mar-22,789902,25891402,405,3/2/2022,3/2/2022,405,1,1,1
FMR33321602,1-Mar-22,789321,25891402,283,3/3/2022,3/3/2022,283,1,1,1
FMR33122402,1-Mar-22,789122,25891402,460,3/3/2022,3/6/2022,437,0,0,0
FMR34122402,1-Mar-22,789122,25891402,256,3/4/2022,3/4/2022,205,0,1,0
FMR34621601,1-Mar-22,789621,25891402,220,3/4/2022,3/7/2022,220,1,0,1
FMR32221402,1-Mar-22,789221,25891402,384,3/2/2022,3/3/2022,384,1,0,1
FMR33221402,1-Mar-22,789221,25891402,342,3/3/2022,3/4/2022,342,1,0,1
FMR32622402,1-Mar-22,789622,25891402,309,3/2/2022,3/3/2022,247,0,0,0
FMR34622602,1-Mar-22,789622,25891402,462,3/4/2022,3/4/2022,439,0,1,0
FMR32202402,1-Mar-22,789202,25891402,442,3/2/2022,3/3/2022,442,1,0,1
FMR34301602,1-Mar-22,789301,25891201,308,3/4/2022,3/4/2022,308,1,1,1
FMR33521201,1-Mar-22,789521,25891201,487,3/3/2022,3/4/2022,463,0,0,0
FMR33401603,1-Mar-22,789401,25891201,461,3/3/2022,3/3/2022,461,1,1,1
FMR33320501,1-Mar-22,789320,25891201,354,3/3/2022,3/3/2022,354,1,1,1
FMR32321201,1-Mar-22,789321,25891201,374,3/2/2022,3/2/2022,374,1,1,1
FMR34102602,1-Mar-22,789102,25891201,440,3/4/2022,3/4/2022,440,1,1,1
FMR32103503,1-Mar-22,789103,25891201,112,3/2/2022,3/2/2022,101,0,1,0
FMR32501201,1-Mar-22,789501,25891201,273,3/2/2022,3/1/2022,273,1,1,1
FMR34220601,1-Mar-22,789220,25891201,378,3/4/2022,3/4/2022,378,1,1,1
FMR34702502,1-Mar-22,789702,25891201,156,3/4/2022,3/4/2022,156,1,1,1
FMR34201201,1-Mar-22,789201,25891201,291,3/4/2022,3/5/2022,233,0,0,0
FMR32622502,1-Mar-22,789622,25891201,274,3/2/2022,3/2/2022,247,0,1,0
FMR34101201,1-Mar-22,789101,25891201,489,3/4/2022,3/5/2022,489,1,0,1
FMR34520602,1-Mar-22,789520,25891501,204,3/4/2022,3/6/2022,184,0,0,0
FMR33203603,1-Mar-22,789203,25891501,104,3/3/2022,3/3/2022,104,1,1,1
FMR34420501,1-Mar-22,789420,25891501,210,3/4/2022,3/6/2022,210,1,0,1
FMR33403501,1-Mar-22,789403,25891501,241,3/3/2022,3/3/2022,229,0,1,0
FMR34121501,1-Mar-22,789121,25891501,159,3/4/2022,3/3/2022,127,0,1,0
FMR34903603,1-Mar-22,789903,25891501,136,3/4/2022,3/4/2022,136,1,1,1
FMR33320501,1-Mar-22,789320,25891501,249,3/3/2022,3/3/2022,249,1,1,1
FMR32221603,1-Mar-22,789221,25891501,140,3/2/2022,3/2/2022,140,1,1,1
FMR32101601,1-Mar-22,789101,25891501,241,3/2/2022,3/2/2022,241,1,1,1
FMR33303501,1-Mar-22,789303,25891501,105,3/3/2022,3/3/2022,105,1,1,1
FMR32102602,1-Mar-22,789102,25891501,114,3/2/2022,3/2/2022,91,0,1,0
FMR32402602,1-Mar-22,789402,25891501,223,3/2/2022,3/2/2022,223,1,1,1
FMR33720501,1-Mar-22,789720,25891501,182,3/3/2022,3/2/2022,182,1,1,1
FMR32301603,1-Mar-22,789301,25891501,238,3/2/2022,3/2/2022,238,1,1,1
FMR34301602,1-Mar-22,789301,25891602,92,3/4/2022,3/4/2022,83,0,1,0
FMR34303602,1-Mar-22,789303,25891602,98,3/4/2022,3/4/2022,98,1,1,1
FMR34702602,1-Mar-22,789702,25891602,155,3/4/2022,3/3/2022,155,1,1,1
FMR32102602,1-Mar-22,789102,25891602,63,3/2/2022,3/2/2022,63,1,1,1
FMR34102602,1-Mar-22,789102,25891602,154,3/4/2022,3/4/2022,154,1,1,1
FMR34703602,1-Mar-22,789703,25891602,163,3/4/2022,3/4/2022,163,1,1,1
FMR32420602,1-Mar-22,789420,25891602,76,3/2/2022,3/4/2022,76,1,0,1
FMR33321602,1-Mar-22,789321,25891602,78,3/3/2022,3/3/2022,74,0,1,0
FMR34321602,1-Mar-22,789321,25891602,60,3/4/2022,3/4/2022,60,1,1,1
FMR32402602,1-Mar-22,789402,25891602,172,3/2/2022,3/2/2022,163,0,1,0
FMR33203603,1-Mar-22,789203,25891602,184,3/3/2022,3/3/2022,184,1,1,1
FMR32103602,1-Mar-22,789103,25891602,86,3/2/2022,3/1/2022,77,0,1,0
FMR33103602,1-Mar-22,789103,25891602,172,3/3/2022,3/3/2022,163,0,1,0
FMR33201602,1-Mar-22,789201,25891602,52,3/3/2022,3/3/2022,52,1,1,1
FMR34320602,1-Mar-22,789320,25891602,190,3/4/2022,3/4/2022,190,1,1,1
FMR34520602,1-Mar-22,789520,25891602,164,3/4/2022,3/6/2022,131,0,0,0
FMR34622602,1-Mar-22,789622,25891602,54,3/4/2022,3/4/2022,54,1,1,1
FMR32220602,1-Mar-22,789220,25891602,77,3/2/2022,3/1/2022,77,1,1,1
FMR33220603,1-Mar-22,789220,25891602,65,3/3/2022,3/3/2022,65,1,1,1
FMR33721603,1-Mar-22,789721,25891602,148,3/3/2022,3/3/2022,148,1,1,1
FMR33501401,1-Mar-22,789501,25891101,484,3/3/2022,3/3/2022,484,1,1,1
FMR32101601,1-Mar-22,789101,25891101,474,3/2/2022,3/2/2022,474,1,1,1
FMR33101403,1-Mar-22,789101,25891101,349,3/3/2022,3/3/2022,349,1,1,1
FMR32703401,1-Mar-22,789703,25891101,492,3/2/2022,3/2/2022,492,1,1,1
FMR33321602,1-Mar-22,789321,25891101,345,3/3/2022,3/3/2022,345,1,1,1
FMR32203101,1-Mar-22,789203,25891101,409,3/2/2022,3/4/2022,389,0,0,0
FMR33203603,1-Mar-22,789203,25891101,368,3/3/2022,3/3/2022,294,0,1,0
FMR32903403,1-Mar-22,789903,25891101,343,3/2/2022,3/2/2022,326,0,1,0
FMR34122303,1-Mar-22,789122,25891101,410,3/4/2022,3/5/2022,390,0,0,0
FMR33202502,1-Mar-22,789202,25891101,391,3/3/2022,3/3/2022,391,1,1,1
FMR34202301,1-Mar-22,789202,25891101,431,3/4/2022,3/4/2022,431,1,1,1
FMR33403501,1-Mar-22,789403,25891101,379,3/3/2022,3/3/2022,379,1,1,1
FMR34401102,1-Mar-22,789401,25891101,454,3/4/2022,3/3/2022,454,1,1,1
FMR33503502,1-Mar-22,789503,25891101,362,3/3/2022,3/3/2022,362,1,1,1
FMR33420101,1-Mar-22,789420,25891101,306,3/3/2022,3/4/2022,306,1,0,1
FMR34420501,1-Mar-22,789420,25891101,494,3/4/2022,3/6/2022,494,1,0,1
FMR34622101,1-Mar-22,789622,25891101,423,3/4/2022,3/3/2022,402,0,1,0
FMR34520301,1-Mar-22,789520,25891101,428,3/4/2022,3/4/2022,385,0,1,0
FMR34422101,1-Mar-22,789422,25891101,444,3/4/2022,3/5/2022,444,1,0,1
FMR34603401,1-Mar-22,789603,25891401,313,3/4/2022,3/5/2022,313,1,0,1
FMR33501401,1-Mar-22,789501,25891401,288,3/3/2022,3/3/2022,259,0,1,0
FMR32503401,1-Mar-22,789503,25891401,449,3/2/2022,3/2/2022,449,1,1,1
FMR33202502,1-Mar-22,789202,25891401,215,3/3/2022,3/3/2022,215,1,1,1
FMR34702502,1-Mar-22,789702,25891401,355,3/4/2022,3/4/2022,337,0,1,0
FMR32703401,1-Mar-22,789703,25891401,234,3/2/2022,3/2/2022,234,1,1,1
FMR32422401,1-Mar-22,789422,25891401,342,3/2/2022,3/4/2022,342,1,0,1
FMR32122401,1-Mar-22,789122,25891401,240,3/2/2022,3/4/2022,228,0,0,0
FMR33201602,1-Mar-22,789201,25891401,480,3/3/2022,3/3/2022,456,0,1,0
FMR33103401,1-Mar-22,789103,25891401,306,3/3/2022,3/2/2022,291,0,1,0
FMR34103403,1-Mar-22,789103,25891401,399,3/4/2022,3/4/2022,359,0,1,0
FMR32403401,1-Mar-22,789403,25891401,473,3/2/2022,3/2/2022,473,1,1,1
FMR32520603,1-Mar-22,789520,25891603,67,3/2/2022,3/2/2022,64,0,1,0
FMR33220603,1-Mar-22,789220,25891603,51,3/3/2022,3/3/2022,46,0,1,0
FMR33603603,1-Mar-22,789603,25891603,183,3/3/2022,3/5/2022,183,1,0,1
FMR32221603,1-Mar-22,789221,25891603,100,3/2/2022,3/2/2022,80,0,1,0
FMR33401603,1-Mar-22,789401,25891603,127,3/3/2022,3/3/2022,127,1,1,1
FMR33420603,1-Mar-22,789420,25891603,129,3/3/2022,3/3/2022,129,1,1,1
FMR32121603,1-Mar-22,789121,25891603,200,3/2/2022,3/4/2022,180,0,0,0
FMR32421603,1-Mar-22,789421,25891603,172,3/2/2022,3/5/2022,155,0,0,0
FMR32903603,1-Mar-22,789903,25891603,128,3/2/2022,3/3/2022,115,0,0,0
FMR34903603,1-Mar-22,789903,25891603,148,3/4/2022,3/4/2022,133,0,1,0
FMR33703603,1-Mar-22,789703,25891603,165,3/3/2022,3/3/2022,165,1,1,1
FMR32303603,1-Mar-22,789303,25891603,169,3/2/2022,3/2/2022,169,1,1,1
FMR32301603,1-Mar-22,789301,25891603,134,3/2/2022,3/2/2022,121,0,1,0
FMR33203603,1-Mar-22,789203,25891603,122,3/3/2022,3/3/2022,122,1,1,1
FMR32202603,1-Mar-22,789202,25891603,186,3/2/2022,3/2/2022,186,1,1,1
FMR32721603,1-Mar-22,789721,25891603,140,3/2/2022,3/2/2022,126,0,1,0
FMR33721603,1-Mar-22,789721,25891603,195,3/3/2022,3/3/2022,195,1,1,1
FMR33621603,1-Mar-22,789621,25891603,69,3/3/2022,3/3/2022,69,1,1,1
FMR32102202,1-Mar-22,789102,25891202,106,3/2/2022,3/3/2022,106,1,0,1
FMR33102601,1-Mar-22,789102,25891202,419,3/3/2022,3/3/2022,419,1,1,1
FMR33402303,1-Mar-22,789402,25891202,167,3/3/2022,3/3/2022,167,1,1,1
FMR34402202,1-Mar-22,789402,25891202,457,3/4/2022,3/4/2022,457,1,1,1
FMR33622502,1-Mar-22,789622,25891202,294,3/3/2022,3/3/2022,294,1,1,1
FMR34902202,1-Mar-22,789902,25891202,311,3/4/2022,3/4/2022,311,1,1,1
FMR32320202,1-Mar-22,789320,25891202,211,3/2/2022,3/3/2022,211,1,0,1
FMR33320202,1-Mar-22,789320,25891202,209,3/3/2022,3/5/2022,188,0,0,0
FMR32403401,1-Mar-22,789403,25891202,472,3/2/2022,3/2/2022,472,1,1,1
FMR34703602,1-Mar-22,789703,25891202,185,3/4/2022,3/4/2022,167,0,1,0
FMR34303602,1-Mar-22,789303,25891202,160,3/4/2022,3/4/2022,144,0,1,0
FMR32721603,1-Mar-22,789721,25891202,178,3/2/2022,3/2/2022,169,0,1,0
FMR33421203,1-Mar-22,789421,25891202,332,3/3/2022,3/6/2022,332,1,0,1
FMR34421601,1-Mar-22,789421,25891202,132,3/4/2022,3/5/2022,125,0,0,0
FMR33101202,1-Mar-22,789101,25891202,150,3/3/2022,3/4/2022,150,1,0,1
FMR34401503,1-Mar-22,789401,25891202,173,3/4/2022,3/4/2022,173,1,1,1
FMR33503502,1-Mar-22,789503,25891202,214,3/3/2022,3/3/2022,214,1,1,1
FMR33601202,1-Mar-22,789601,25891202,411,3/3/2022,3/4/2022,390,0,0,0
